	env_package.data.body_site	env_package.data.env_package	env_package.data.sample_name	env_package.id	env_package.name	env_package.type	library.data.file_checksum	library.data.file_name	library.data.investigation_type	library.data.metagenome_id	library.data.metagenome_name	library.data.misc_param	library.data.sample_name	library.data.seq_center	library.data.seq_meth	library.data.seq_model	library.data.seq_url	library.id	library.name	library.type	mixs.biome	mixs.collection_date	mixs.country	mixs.env_package_type	mixs.feature	mixs.latitude	mixs.location	mixs.longitude	mixs.material	mixs.PI_firstname	mixs.PI_lastname	mixs.project_id	mixs.project_name	mixs.seq_method	mixs.sequence_type	project.data.administrative-contact_PI_email	project.data.administrative-contact_PI_organization	project.data.administrative-contact_PI_organization_address	project.data.administrative-contact_PI_organization_country	project.data.administrative-contact_PI_organization_url	project.data.email	project.data.firstname	project.data.lastname	project.data.misc_param	project.data.organization	project.data.organization_address	project.data.organization_country	project.data.organization_url	project.data.PI_email	project.data.PI_firstname	project.data.PI_lastname	project.data.PI_organization	project.data.PI_organization_address	project.data.PI_organization_country	project.data.PI_organization_url	project.data.project_description	project.data.project_funding	project.data.project_name	project.data.project-description_project_description	project.data.project-description_project_name	project.id	project.name	project.public	sample.data.biome	sample.data.collection_date	sample.data.continent	sample.data.country	sample.data.env_package	sample.data.feature	sample.data.host_disease	sample.data.material	sample.data.misc_param	sample.data.sample_name	sample.data.temperature	sample.id	sample.name
mgm4472160.3	Tongue dorsum	human-oral	SRR059374	mge58172	SRR059374: human-oral	human-oral	ef2b341f0ccb28e68a06da30bcef6e36	SRR059374.fastq	metagenome	4472160.3	SRR059374	SRA020838,SRS017007,SRX022936	SRR059374	Broad Institute		Illumina Genome Analyzer II	http://www.broadinstitute.org/	mgl58173	SRR059374	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	healthy	mucus	SRA020838,SRS017007,SRX022936	SRR059374	37.5	mgs58171	SRR059374
mgm4472167.3	Tongue dorsum	human-oral	SRR059381	mge58193	SRR059381: human-oral	human-oral	64306cbe1ef93dae7ae4e5f2cab8d57e	SRR059381.fastq	metagenome	4472167.3	SRR059381	SRA020838,SRS017439,SRX022943	SRR059381	Broad Institute		Illumina Genome Analyzer II	http://www.broadinstitute.org/	mgl58194	SRR059381	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	healthy	mucus	SRA020838,SRS017439,SRX022943	SRR059381	37.5	mgs58192	SRR059381
mgm4472253.3	Tongue dorsum	human-oral	SRR059509	mge58439	SRR059509: human-oral	human-oral	5de7b44b4d61870ed75dc86516e157ae	SRR059509.fastq	metagenome	4472253.3	SRR059509	SRA020838,SRS024138,SRX023071	SRR059509	Broad Institute		Illumina Genome Analyzer II	http://www.broadinstitute.org/	mgl58440	SRR059509	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	unknown	mucus	SRA020838,SRS024138,SRX023071	SRR059509	37.5	mgs58438	SRR059509
mgm4472255.3	Tongue dorsum	human-oral	SRR059511	mge58445	SRR059511: human-oral	human-oral	860aa4d52d71f43661579f6832c3fbc2	SRR059511.fastq	metagenome	4472255.3	SRR059511	SRA020838,SRS022077,SRX023073	SRR059511	Broad Institute		Illumina Genome Analyzer II	http://www.broadinstitute.org/	mgl58446	SRR059511	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	healthy	mucus	SRA020838,SRS022077,SRX023073	SRR059511	37.5	mgs58444	SRR059511
mgm4472304.3	Tongue dorsum	human-oral	SRR059856	mge58589	SRR059856: human-oral	human-oral	7d9797268a1ad7f271518427da116431	SRR059856.fastq	metagenome	4472304.3	SRR059856	SRA020838,SRS057692,SRX023248	SRR059856	Broad Institute		Illumina Genome Analyzer II	http://www.broadinstitute.org/	mgl58590	SRR059856	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	healthy	mucus	SRA020838,SRS057692,SRX023248	SRR059856	37.5	mgs58588	SRR059856
mgm4472305.3	Tongue dorsum	human-oral	SRR059857	mge58592	SRR059857: human-oral	human-oral	e286e7d4fc7c378906b4e755b243eb86	SRR059857.fastq	metagenome	4472305.3	SRR059857	SRA020838,SRS057692,SRX023249	SRR059857	Broad Institute		Illumina Genome Analyzer II	http://www.broadinstitute.org/	mgl58593	SRR059857	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	healthy	mucus	SRA020838,SRS057692,SRX023249	SRR059857	37.5	mgs58591	SRR059857
mgm4472312.3	Supragingival plaque	human-oral	SRR059865	mge58613	SRR059865: human-oral	human-oral	0c6813dd5779048ffb78f253d439e139	SRR059865.fastq	metagenome	4472312.3	SRR059865	SRA020838,SRS024355,SRX023257	SRR059865	Broad Institute		Illumina Genome Analyzer II	http://www.broadinstitute.org/	mgl58614	SRR059865	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	unknown	mucus	SRA020838,SRS024355,SRX023257	SRR059865	37.5	mgs58612	SRR059865
mgm4472337.3	Stool	human-gut	SRR059891	mge58688	SRR059891: human-gut	human-gut	311684bc2e4a6fe8692c6ec81a8c6d19	SRR059891.fastq	metagenome	4472337.3	SRR059891	SRA020838,SRS024331,SRX023283	SRR059891	Broad Institute		Illumina Genome Analyzer II	http://www.broadinstitute.org/	mgl58689	SRR059891	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA020838,SRS024331,SRX023283	SRR059891	37.5	mgs58687	SRR059891
mgm4472353.3	Tongue dorsum	human-oral	SRR059907	mge58736	SRR059907: human-oral	human-oral	10ab4cef7fa732d10b2cc2561531f6f2	SRR059907.fastq	metagenome	4472353.3	SRR059907	SRA020838,SRS018439,SRX023299	SRR059907	Broad Institute		Illumina Genome Analyzer II	http://www.broadinstitute.org/	mgl58737	SRR059907	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	unknown	mucus	SRA020838,SRS018439,SRX023299	SRR059907	37.5	mgs58735	SRR059907
mgm4472361.3	Stool	human-gut	SRR059915	mge58760	SRR059915: human-gut	human-gut	b1f860e8cc7ee384361e36ba02daa2df	SRR059915.fastq	metagenome	4472361.3	SRR059915	SRA020838,SRS043701,SRX023307	SRR059915	Broad Institute		Illumina Genome Analyzer II	http://www.broadinstitute.org/	mgl58761	SRR059915	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA020838,SRS043701,SRX023307	SRR059915	37.5	mgs58759	SRR059915
