	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3
(GlcNAc)2_Catabolic_Operon	0.077762847823079	0.0622419470736954	0.0762964083523894	0.0275770785045232	0.0305093063004197	0.060532281765199	0.0331458743734604	0.1894026963414	0.0895409827842528	0.415836412351183	0.0780272428454135	0.0792074562870946	0.0712622588609008	0.0851643758885763	0.00932123200650524	0.197433625789282	0.114043424721465	0.163819048402527	0.0476288247680251	0.0782668213535678	0.173278582855893	0.190843812658245	0.211649426713575	0.0810034592888314	0.349940420400765	0.211716477760673	0.0776152676669892	0.0762964083523894	0	0.0776152676669892
2-Ketogluconate_Utilization	0.077762847823079	0.0622419470736954	0.0762964083523894	0.0275770785045232	0.0305093063004197	0.060532281765199	0.0331458743734604	0.1894026963414	0.0895409827842528	0.171037794485793	0.0780272428454135	0.0792074562870946	0.0712622588609008	0.0851643758885763	0.00932123200650524	0.197433625789282	0.294906433444079	0.163819048402527	0.0476288247680251	0.0782668213535678	0.173278582855893	0.190843812658245	0.211649426713575	0.0810034592888314	0.173585069151747	0.211716477760673	0.0776152676669892	0.0762964083523894	0	0.0776152676669892
2-phosphoglycolate_salvage	0.077762847823079	0.0622419470736954	0.0762964083523894	0.0275770785045232	0.0305093063004197	0.060532281765199	0.0331458743734604	0.1894026963414	0.0895409827842528	0.171037794485793	0.0780272428454135	0.0792074562870946	0.0712622588609008	0.0851643758885763	0.00932123200650524	0.197433625789282	0.308715802096398	0.163819048402527	0.0476288247680251	0.0782668213535678	0.173278582855893	0.190843812658245	0.211649426713575	0.0810034592888314	0.173585069151747	0.211716477760673	0.0776152676669892	0.0762964083523894	0	0.0776152676669892
4-Hydroxyphenylacetic_acid_catabolic_pathway	0.077762847823079	0.0622419470736954	0.35967812611548	0.324073054586186	0.0305093063004197	0.060532281765199	0.0331458743734604	0.1894026963414	0.0895409827842528	0.171037794485793	0.0780272428454135	0.0792074562870946	0.0712622588609008	0.342095798263623	0.00932123200650524	0.197433625789282	0.420406558366319	0.163819048402527	0.297589859861238	0.358114571354941	0.173278582855893	0.190843812658245	0.211649426713575	0.0810034592888314	0.173585069151747	0.450341069190285	0.0776152676669892	0.200481201661829	0	0.0776152676669892
5-FCL-like_protein	0.78861581510449	0.759261561641456	0.770352761744854	0.677623539840257	0.694491791726804	0.768751621974584	0.698855079310265	0.1894026963414	0.794095576436183	0.171037794485793	0.741536490026159	0.0792074562870946	0.0712622588609008	0.728025933172035	0.638066142779214	0.197433625789282	0.114043424721465	0.163819048402527	0.742065949946056	0.77544137249695	0.173278582855893	0.190843812658245	0.211649426713575	0.775277565069869	0.173585069151747	0.211716477760673	0.720529601780173	0.738479865394704	0.61909066584223	0.718060745446941
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	0.44127352466782	0.45907932548926	0.474675666571918	0.394616723732268	0.425979395548689	0.457242243527196	0.347317420730819	0.292304511083559	0.442121502567948	0.309881260740434	0.374431706366725	0.430376706511286	0.43049814693083	0.393330868870479	0.357804709986718	0.272998923977908	0.318945982832115	0.163819048402527	0.43643724814538	0.448708751949995	0.256883315303996	0.274975268435926	0.211649426713575	0.42042067940735	0.173585069151747	0.211716477760673	0.37236924273883	0.382112207058913	0.354655328714155	0.373787429403667
A_Gammaproteobacteria_Cluster_Relating_to_Translation	0.628731539106019	0.606528560191234	0.618012325934583	0.545294191683546	0.565334204180979	0.614301396629596	0.552900739974977	0.699492950664541	0.639423004522627	0.651682307334324	0.619371767317165	0.659600255274617	0.667401371322289	0.585405206800363	0.504071574308836	0.197433625789282	0.582297674540046	0.673467536419806	0.59286375085908	0.625701475855098	0.173278582855893	0.190843812658245	0.211649426713575	0.598703674935911	0.173585069151747	0.211716477760673	0.597786846289461	0.598632285822285	0.487597317448075	0.596168370150572
A_Glutathione-dependent_Thiol_Reductase_Associated_with_a_Step_in_Lysine_Biosynthesis	0.077762847823079	0.0622419470736954	0.0762964083523894	0.0275770785045232	0.0305093063004197	0.060532281765199	0.0331458743734604	0.1894026963414	0.0895409827842528	0.288765166663748	0.0780272428454135	0.0792074562870946	0.0712622588609008	0.0851643758885763	0.00932123200650524	0.197433625789282	0.288738260988226	0.163819048402527	0.0476288247680251	0.0782668213535678	0.173278582855893	0.265144867847129	0.211649426713575	0.0810034592888314	0.173585069151747	0.211716477760673	0.0776152676669892	0.0762964083523894	0	0.0776152676669892
A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	0.077762847823079	0.0622419470736954	0.641136309337502	0.0275770785045232	0.581986366227711	0.060532281765199	0.453306363340264	0.1894026963414	0.0895409827842528	0.171037794485793	0.329452126769225	0.537399207823767	0.0712622588609008	0.0851643758885763	0.00932123200650524	0.197433625789282	0.114043424721465	0.163819048402527	0.0476288247680251	0.0782668213535678	0.173278582855893	0.190843812658245	0.211649426713575	0.0810034592888314	0.173585069151747	0.211716477760673	0.0776152676669892	0.492214355027658	0.509286547990913	0.0776152676669892
A_toxin-antitoxin_module_cotranscribed_with_DinB	0.077762847823079	0.0622419470736954	0.0762964083523894	0.0275770785045232	0.0305093063004197	0.060532281765199	0.0331458743734604	0.1894026963414	0.0895409827842528	0.171037794485793	0.0780272428454135	0.0792074562870946	0.0712622588609008	0.0851643758885763	0.00932123200650524	0.197433625789282	0.307720416941857	0.163819048402527	0.0476288247680251	0.0782668213535678	0.173278582855893	0.274975268435926	0.211649426713575	0.0810034592888314	0.173585069151747	0.211716477760673	0.0776152676669892	0.0762964083523894	0	0.0776152676669892
