	mgm4472160.3::Tongue dorsum	mgm4472167.3::Tongue dorsum	mgm4472253.3::Tongue dorsum	mgm4472255.3::Tongue dorsum	mgm4472304.3::Tongue dorsum	mgm4472305.3::Tongue dorsum	mgm4472312.3::Supragingival plaque	mgm4472337.3::Stool	mgm4472353.3::Tongue dorsum	mgm4472361.3::Stool	mgm4472397.3::Supragingival plaque	mgm4472419.3::Supragingival plaque	mgm4472428.3::Supragingival plaque	mgm4472444.3::Supragingival plaque	mgm4472462.3::Supragingival plaque	mgm4472464.3::Stool	mgm4472467.3::Stool	mgm4472473.3::Stool	mgm4472484.3::Tongue dorsum	mgm4472495.3::Tongue dorsum	mgm4472580.3::Stool	mgm4472586.3::Stool	mgm4472682.3::Stool	mgm4472751.3::Supragingival plaque	mgm4472934.3::Stool	mgm4473326.3::Stool	mgm4473472.3::Supragingival plaque	mgm4473666.3::Supragingival plaque	mgm4478487.3::Tongue dorsum	mgm4478571.3::Supragingival plaque	Stool::group_mean	Supragingival plaque::group_mean	Tongue dorsum::group_mean	Stool::group_sd	Supragingival plaque::group_sd	Tongue dorsum::group_sd	Kruskal-Wallis::stat	Kruskal-Wallis::p	Kruskal-Wallis::fdr
Anaerobic_Oxidative_Degradation_of_L-Ornithine	0.44407529207393	0.41899902405144	0.397566724700557	0.38357857437421	0.398337783237347	0.425951767744826	0.316987715962297	0.1894026963414	0.423058502158514	0.171037794485793	0.382146820877611	0.398775636289684	0.349150883959269	0.351339015963681	0.262849078128069	0.197433625789282	0.114043424721465	0.163819048402527	0.433126214982334	0.437524683798462	0.173278582855893	0.190843812658245	0.211649426713575	0.363498347362679	0.173585069151747	0.211716477760673	0.279995222301886	0.357862738831079	0.353693995904231	0.285974416251705	0.17968099588806	0.334857987592796	0.411591256302585	0.0284707974114373	0.0460087621500733	0.0280738151463499	24.1264516129032	5.76776554439032e-06	0.00437196628264787
CBSS-269799.3.peg.2220	0.345701036506106	0.280394185284253	0.338252496571014	0.268000578851311	0.30628151640453	0.323611612286318	0.381833548742449	0.1894026963414	0.34939314523546	0.171037794485793	0.406515479568506	0.431867087055357	0.435175187095125	0.297645512189553	0.3439497496065	0.197433625789282	0.114043424721465	0.163819048402527	0.291792093881113	0.323704315778264	0.173278582855893	0.190843812658245	0.211649426713575	0.354708342808716	0.173585069151747	0.211716477760673	0.410903745955816	0.383756365110864	0.293879344037143	0.41285929831717	0.17968099588806	0.385921431645006	0.312101032483551	0.0284707974114373	0.0432829584624315	0.0282827283428252	23.9070967741935	6.43635361473573e-06	0.00487231968635495
Teichuronic_acid_biosynthesis	0.46938632078969	0.443282908525313	0.459736250839324	0.414278848128624	0.397107018105835	0.443436951621179	0.0331458743734604	0.677207719154128	0.497466838538113	0.653993240853893	0.0780272428454135	0.0792074562870946	0.0712622588609008	0.0851643758885763	0.00932123200650524	0.197433625789282	0.571445085107148	0.639813082923695	0.429145025629578	0.463547252339483	0.633636780504124	0.669894505746319	0.746101896556788	0.0810034592888314	0.675934751905376	0.752818300746809	0.0776152676669892	0.0762964083523894	0.375172466511975	0.0776152676669892	0.621827898928756	0.066865884323715	0.439255988102911	0.158132799087001	0.0249430097097419	0.0364369558658681	23.4890965732087	7.93245261840438e-06	0.00599693417951371
Glutaredoxins	0.450904318990965	0.447059081202924	0.456412775562617	0.392472440980667	0.405866973221312	0.443472632063504	0.346094134585928	0.288777125669626	0.399546589409531	0.293657131465268	0.371020212172681	0.393529538805063	0.417824288857598	0.37936800322473	0.350707345147647	0.237067496045221	0.345399945872404	0.319483418468969	0.423301314368315	0.445580853927543	0.173278582855893	0.241306844545469	0.211649426713575	0.397868056668349	0.276308868446498	0.211716477760673	0.347050094616486	0.366965574144478	0.362892959749474	0.345174953464245	0.25986453178436	0.37156022016872	0.422750993947685	0.0538755390884062	0.0253372225007362	0.0312530702094834	22.9961290322581	1.01497192178103e-05	0.00766303800944678
ABC_transporter_of_unknown_substrate_X	0.475875381820427	0.463581800261141	0.500284923201477	0.418029907385612	0.447272095000661	0.481706289997763	0.357326198971536	0.30495879340006	0.472238072115767	0.348963242761255	0.417717771967189	0.446375689621474	0.430825548880751	0.429059004497984	0.391524625601917	0.197433625789282	0.321606184159075	0.257527518529398	0.460751665404725	0.487620175569938	0.288369835372858	0.190843812658245	0.211649426713575	0.427083502389586	0.173585069151747	0.211716477760673	0.410069845583575	0.377644191837049	0.374923766988368	0.406640689754288	0.250665398629617	0.409426706910535	0.458228407774588	0.0619178960393775	0.0271668103922384	0.0371216811242689	22.8877419354839	1.07149460104313e-05	0.00807906929186518
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	0.44127352466782	0.45907932548926	0.474675666571918	0.394616723732268	0.425979395548689	0.457242243527196	0.347317420730819	0.292304511083559	0.442121502567948	0.309881260740434	0.374431706366725	0.430376706511286	0.43049814693083	0.393330868870479	0.357804709986718	0.272998923977908	0.318945982832115	0.163819048402527	0.43643724814538	0.448708751949995	0.256883315303996	0.274975268435926	0.211649426713575	0.42042067940735	0.173585069151747	0.211716477760673	0.37236924273883	0.382112207058913	0.354655328714155	0.373787429403667	0.248675928440246	0.388244911800562	0.433478971091463	0.0552914913365859	0.0296511322134859	0.0350762178458333	22.6993548387097	1.17732868469104e-05	0.00886528499572352
Glyoxylate_bypass	0.549459869670552	0.512518915592145	0.536884285492323	0.462073932103136	0.454262949043653	0.518818776431023	0.546986260021701	0.1894026963414	0.564698613542364	0.171037794485793	0.602519879766692	0.616504577784107	0.674457382563255	0.514643333426264	0.512820627656743	0.197433625789282	0.114043424721465	0.163819048402527	0.481408572931454	0.507530194263312	0.173278582855893	0.190843812658245	0.211649426713575	0.590772111651586	0.173585069151747	0.211716477760673	0.544178105077422	0.551335452878739	0.433104662377262	0.5417123051576	0.17968099588806	0.569593003598411	0.502076077144722	0.0284707974114373	0.0508157782892565	0.043292293498595	22.5161290322581	1.29028219316422e-05	0.00970292209259494
Deoxyribose_and_Deoxynucleoside_Catabolism	0.58954894197996	0.578178333921217	0.609458582860243	0.517492162914184	0.54884958958737	0.583745677163687	0.430326706937444	0.1894026963414	0.569705300302567	0.171037794485793	0.459651262984459	0.564829797089889	0.569886168861935	0.535500559602943	0.433571516938163	0.197433625789282	0.114043424721465	0.163819048402527	0.570036163561297	0.581197373115312	0.173278582855893	0.190843812658245	0.211649426713575	0.534291311239061	0.173585069151747	0.211716477760673	0.542579840265303	0.516933330542824	0.452898154753459	0.541323073838744	0.17968099588806	0.512889356830077	0.56011102801593	0.0284707974114373	0.0522433582926006	0.0450429132517831	22.1651612903226	1.53778769179485e-05	0.0115487855653793
CBSS-257314.1.peg.752	0.575262766550012	0.552700609697174	0.560327550064387	0.499365889824991	0.49859695568826	0.555176355840165	0.0331458743734604	0.1894026963414	0.562757113064559	0.171037794485793	0.0780272428454135	0.0792074562870946	0.0712622588609008	0.0851643758885763	0.00932123200650524	0.197433625789282	0.114043424721465	0.163819048402527	0.530223456283949	0.548910602659775	0.173278582855893	0.190843812658245	0.211649426713575	0.0810034592888314	0.173585069151747	0.211716477760673	0.0776152676669892	0.0762964083523894	0.446283110763132	0.510760355682144	0.17968099588806	0.11018039312523	0.53296044104364	0.0284707974114373	0.142892605101242	0.0399914011795076	22.0361290322581	1.64027014173486e-05	0.0123020260630114
CBSS-83332.1.peg.3803	0.077762847823079	0.392486117777361	0.0762964083523894	0.0275770785045232	0.0305093063004197	0.060532281765199	0.421891079773035	0.1894026963414	0.0895409827842528	0.590013803760472	0.0780272428454135	0.491437002368838	0.477762944955332	0.0851643758885763	0.374877621125075	0.660288907367495	0.530396807685973	0.591464134631486	0.0476288247680251	0.0782668213535678	0.58423877045736	0.595516347344564	0.663958809036535	0.433377072091517	0.614009475485373	0.663565788948772	0.401035607780695	0.435267178519764	0	0.400416721532606	0.568285554105943	0.359925684688085	0.0880600669428817	0.139753811521107	0.150777843328416	0.110622008667228	21.8503225806452	1.79995951799718e-05	0.0134816967897989
