	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3
(GlcNAc)2_Catabolic_Operon	0	0	0	0	0	0	0	1845	0	1113	0	0	0	0	0	590	1495	1452	0	0	491	936	377	0	269	944	0	0	0	0
16S_rRNA_modification_within_P_site_of_ribosome	46551	68989	65259	41723	71520	60454	0	42440	40290	38081	0	0	0	10562	0	46456	39917	50480	83074	46636	32831	39216	38184	11812	33971	38147	20919	0	48808	20641
2-Ketogluconate_Utilization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0
2-phosphoglycolate_salvage	7401	7963	8580	7110	8577	8916	0	0	8433	5515	0	0	0	0	0	0	171	0	8645	8306	4614	0	0	8182	5025	0	4988	0	6128	5028
4-Hydroxyphenylacetic_acid_catabolic_pathway	1028	1245	1205	999	563	984	1957	1107	1268	919	0	330	2371	682	0	1327	2568	1427	274	1130	1058	1303	995	1925	0	820	0	5	1602	0
5-FCL-like_protein	227911	220593	198999	192745	212583	245539	210284	101810	205294	100923	151536	245853	388231	122644	198128	93164	109416	123754	239044	202447	89989	81165	95532	195029	91064	95895	126548	150977	209619	123787
ABC-type_iron_transport_system	1257	1869	1829	1285	1776	1697	684	0	998	0	1167	1616	2932	782	1984	0	0	12	1766	1254	0	0	0	1747	0	0	779	1254	959	813
ABC_transporter_[iron.B12.siderophore.hemin]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	1426	812	549	974	709	786	0	0	416	0	658	721	994	705	0	0	0	0	1052	729	0	0	0	0	0	0	447	545	986	415
ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	31904	25921	23658	18048	29026	28532	3668	0	19993	0	0	5399	4929	8296	3213	0	0	0	35327	19365	0	0	0	2565	0	0	11709	3197	24525	11175
ABC_transporter_dipeptide_(TC_3.A.1.5.2)	45038	47077	39414	27727	54656	55271	0	0	25072	0	4660	7519	7139	16037	4268	0	0	0	63809	38597	0	0	0	0	0	0	12696	11404	35065	12440
ABC_transporter_of_unknown_substrate_X	9168	9594	12931	8577	12928	12664	2260	49	7498	274	3766	5874	5129	4145	7965	0	265	11	11591	10675	35	0	0	4234	1	0	3317	1809	7248	3121
ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	36441	105461	99732	34767	111781	102336	0	0	56957	0	0	16966	16537	22499	11991	0	0	0	102351	35408	0	0	0	53837	0	0	42801	8124	75949	41654
