	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3
(GlcNAc)2_Catabolic_Operon	0	0	0	0	0	0	0	-2.26804	0	-3.03434782608696	0	0	0	0	0	-2.60778260869565	-2.38988	-2.42145833333333	0	0	-3.53463636363636	-2.63095238095238	-2.573	0	-3.9649	-2.22788	0	0	0	0
16S_rRNA_modification_within_P_site_of_ribosome	-1.31482363013698	-1.61741383285303	-1.72535438381361	-1.41580047505938	-1.93377498467198	-1.61720902160102	0	-0.629061187762447	-1.23118682235196	-0.998779706275032	0	0	0	-2.20994582392776	0	-0.69268496079829	-0.927090309822017	-0.90860307017544	-1.5737839433294	-1.28144928751048	-1.15297691500525	-0.695986994219654	-0.625644265887509	-2.14914628820961	-1.05182761998041	-0.649603524229075	-0.833344186046511	0	-1.72937457741717	-0.821429017160687
2-Ketogluconate_Utilization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.39135714285714	0	0	0	0	0	0	0	0	0	0	0	0	0
2-phosphoglycolate_salvage	-0.893527638190955	-1.07878142076503	-0.930617021276596	-0.90577033492823	-1.214	-1.08853631284916	0	0	-0.580981132075472	-0.512495098039216	0	0	0	0	0	0	-4.10530303030303	0	-1.1455487804878	-0.752408653846154	-0.728089171974522	0	0	-0.681219008264463	-0.516903225806452	0	-1.15651162790698	0	-0.982412087912088	-1.31676282051282
4-Hydroxyphenylacetic_acid_catabolic_pathway	-1.59109090909091	-1.66607142857143	-3.11166666666667	-3.3154375	-2.28442857142857	-1.95477777777778	-2.02588235294118	-0.244875	-1.45211111111111	-0.00250000000000003	0	-2.20142857142857	-1.80702631578947	-4.2015	0	-2.18833333333333	-4.3212	-0.556228571428571	-3.821	-3.27558823529412	-1.119	0.4034	-0.824	-1.41847222222222	0	-5.069	0	-6.2	-2.74615384615385	0
5-FCL-like_protein	-3.19244263336155	-3.16706853396901	-3.30767756482526	-3.31879592252803	-3.41187414440273	-3.16481654462696	-3.21243700061463	-2.36796403100775	-3.03694623200678	-2.26495713479977	-3.11435877862596	-2.69381034482758	-2.95320037677684	-3.07798156439294	-3.17985527950311	-2.63877782744747	-2.34759403905447	-2.52110835913313	-3.21176073257188	-3.12946515568735	-2.33297229013855	-2.26332533234859	-2.01061985294118	-3.07149292853101	-2.25145743801653	-2.05986483839373	-3.19453234750463	-3.04473100791782	-3.27203569292124	-3.17640873967492
ABC-type_iron_transport_system	-1.72680952380952	-1.43928205128205	-1.25638888888889	-1.87955263157895	-3.01682608695652	-1.784	-1.14218	0	-0.9141875	0	-1.08143859649123	-1.48480392156863	-1.56159259259259	-1.06567567567568	-1.78709756097561	0	0	-1.64583333333333	-2.45358620689655	-1.28473170731707	0	0	0	-1.0250625	0	0	-1.14282857142857	-0.931980769230769	-1.86415151515152	-1.01425641025641
ABC_transporter_[iron.B12.siderophore.hemin]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.57746666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	1.16995238095238	1.4078	1.46266666666667	0.641620689655172	1.528	1.4042	0	0	1.83473333333333	0	1.711	1.6339696969697	1.13084848484848	2.08063157894737	0	0	0	0	1.29630769230769	1.27971428571429	0	0	0	0	0	0	1.02786363636364	1.19891304347826	0.998428571428571	2.06746666666667
ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	-1.47224028906956	-1.43893227792436	-1.67210740740741	-1.45117814371257	-1.78561991869919	-1.50144263775971	-0.718194174757281	0	-1.50529738562091	0	0	-1.03088679245283	-1.04929464285714	-0.557952569169961	-1.1725243902439	0	0	0	-1.66964894684052	-1.27361316211878	0	0	0	-0.878962025316456	0	0	-1.98461285266458	-1.21139325842697	-1.68101051625239	-1.42286162361624
ABC_transporter_dipeptide_(TC_3.A.1.5.2)	-1.39444210526316	-1.7047617866005	-1.81696608695652	-1.53961342281879	-2.0811396039604	-1.86926829268293	0	0	-1.25401772525849	0	-2.02692352941176	-2.56456521739131	-2.51798314606741	-1.26527833333333	-2.87875609756098	0	0	0	-1.91882470481381	-1.4680696969697	0	0	0	0	0	0	-1.26713028169014	-1.2122302631579	-1.63955406911929	-1.29044991212654
ABC_transporter_of_unknown_substrate_X	-5.5462	-5.66083870967742	-5.6071935483871	-5.75675	-5.71458064516129	-5.57645161290322	-5.48570967741936	-5.66354545454545	-5.15254838709677	-5.61003571428571	-4.9793	-5.61122580645161	-5.58174193548387	-4.4923125	-5.76823333333333	0	-4.5891	-5.4875	-5.67012903225806	-5.61683870967742	-6.64692307692308	0	0	-5.55046666666667	-6	0	-5.89871428571429	-5.42886666666667	-5.64916129032258	-5.76814285714286
ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	-3.56035925520263	-2.54578137297769	-2.70746669687358	-3.65327547931382	-2.768548081714	-2.6693329787234	0	0	-2.54459137577002	0	0	-3.07266601941747	-3.24249898989899	-3.16597238204833	-3.15293873085339	0	0	0	-2.7948054763263	-3.40406482465462	0	0	0	-2.17624893617021	0	0	-2.43598532002349	-3.30946750524109	-2.80408158883522	-2.36300655542312
ABC_transporter_peptide_(TC_3.A.1.5.5)	-3.054	-2.59404132231405	-2.54877857142857	-3.23906451612903	-3.16240336134454	-3.10603305785124	-2.81982692307692	0	-3.21624096385542	-3.70139285714286	-2.4854696969697	-2.762	-3.48663768115942	-3.35444897959184	-2.82334259259259	0	-5.25315094339623	0	-3.27532456140351	-3.51296428571429	0	0	0	-3.67039344262295	0	0	-3.66643859649123	-3.20490322580645	-3.60006493506493	-3.78981481481482
ABC_transporter_tungstate_(TC_3.A.1.6.2)	0	0	-0.350271186440678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMP_to_3-phosphoglycerate	-4.62633333333333	-1.632625	0	0	-1.26954545454545	-1.8643	0	0	-1.8731	0	0	-2.33385714285714	-1.80885714285714	-1.50857142857143	0	0	0	0	-2.14714285714286	-2.3154	0	0	0	-2.742	0	0	-1.22925	-1.371875	-3.7156	-1.373
ATP-dependent_Nuclease	-1.39422907488987	-1.45117040358744	-1.57440476190476	-1.69282096069869	-1.63221495327103	-1.48070666666667	-1.27198139534884	0	-1.32886854460094	-0.103506493506494	-0.878387755102041	-1.30128571428571	-1.12541935483871	-1.13598969072165	-0.952125603864734	0	0	0	-1.51864593301435	-1.22837837837838	0	0.657393442622951	0	-1.38154594594595	0	0	-1.64309708737864	-1.28998086124402	-1.42069196428571	-1.48916279069767
ATP-dependent_RNA_helicases,_bacterial	-2.84232457293035	-3.03230592991914	-3.02174479889043	-3.19455893074119	-3.31952425665101	-3.02799864498645	-2.89188023952096	-2.09551305970149	-2.73206208718626	-2.35534042553191	-2.66291384615384	-2.87504347826087	-2.61667637540453	-3.0538276450512	-2.9043253968254	-2.10753287197232	-2.44167706708268	-2.21955687606112	-3.48254266211604	-3.22951712887439	-2.08717045454546	-2.11686524822695	-2.0194420131291	-2.75054693366708	-2.40949519230769	-2.30973107569721	-3.28076377952756	-2.98056338028169	-3.20643459915612	-3.1701656920078
ATP-dependent_efflux_pump_transporter_Ybh	0	0	0	0	0	0	0	0	0	-1.22415384615385	0	0	0	0	0	0	-3.40255970149254	0	0	0	0	0	0	0	0	0	-1.37654054054054	0	0	-1.53144915254237
A_Gammaproteobacteria_Cluster_Relating_to_Translation	-4.51058106995884	-4.59801661129568	-4.46123102866779	-4.5787303030303	-4.11755694342395	-4.60862429605792	-4.13463018597997	-3.03623092783505	-4.28933384497314	-3.32930743243243	-3.88121349147517	-4.05290006752194	-4.0990497547302	-4.19297260273973	-4.17748420221169	-2.92973768613975	-3.35807710280374	-3.31758333333333	-4.6224034334764	-4.44876489277205	-2.67959147180192	-2.98737923250564	-2.85630173410405	-4.27470716783216	-2.7209973439575	-2.96039414414415	-3.63600434782609	-4.02451792245793	-4.74969512195122	-3.73025236363636
