	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3
(GlcNAc)2_Catabolic_Operon	0	0	0	0	0	0	0	71.40124	0	77.0887391304348	0	0	0	0	0	74.1557391304348	73.20496	73.8643333333333	0	0	72.9004545454546	73.0754285714286	73.0940454545454	0	75.7998	75.67528	0	0	0	0
16S_rRNA_modification_within_P_site_of_ribosome	76.3187654109589	76.5038645533142	76.0937639484977	75.9351916072842	75.8894114040466	76.6695717916137	0	75.9879958008399	75.8904637197664	76.5551582109478	0	0	0	78.2176094808127	0	76.153136849608	76.5507415952538	75.6547642543859	76.2521328217236	75.9967611064543	76.5937859391396	75.9415765895953	76.0741972242512	78.2814716157205	77.1853672869736	75.3743027061043	75.6225395348837	0	76.0328255578092	75.8268533541342
2-Ketogluconate_Utilization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.0315714285714	0	0	0	0	0	0	0	0	0	0	0	0	0
2-phosphoglycolate_salvage	76.6067336683417	76.8926666666667	76.3832180851064	76.0643062200957	77.1930124223602	76.468156424581	0	0	76.6034245283019	76.8606078431373	0	0	0	0	0	0	85.1750909090909	0	76.1360731707317	76.3994038461539	77.1886687898089	0	0	77.5120165289256	76.3030903225807	0	76.3392674418605	0	77.363	76.2862756410257
4-Hydroxyphenylacetic_acid_catabolic_pathway	81.9584545454546	84.2579285714286	83.6881111111111	78.9228125	78.9781428571429	77.1187777777778	78.3978823529412	73.7195	81.7757777777778	74.5045	0	79.6244285714286	76.722	84.22025	0	69.6333333333333	88.1968812500001	72.5578285714286	81.7022	77.7533529411765	66.361	81.2772	72.515	79.6919722222222	0	84.128	0	85.08	81.5933076923077	0
5-FCL-like_protein	78.8945626587637	78.9481231624948	79.3871954904172	78.657268501529	78.7145709869726	78.8659922818127	79.4808188895719	78.0349537984498	78.8039671888227	77.7717498589963	79.9674534351146	78.9283250319281	79.0933555403318	79.9159038714774	79.6430583850929	77.8518480107288	78.5516957862281	77.4981253869971	78.692410988578	79.0905090023298	78.3245541972291	78.3144745199409	77.4745610294116	79.6570880633601	78.2839863636364	77.3027672216784	79.3065389490364	79.2737239460731	78.4975054835489	79.2127521982416
ABC-type_iron_transport_system	75.1464285714286	76.6634102564103	76.9460555555556	74.2536052631579	76.5996086956522	77.3011875	75.85452	0	80.57071875	0	75.4668070175439	75.392	75.1234259259259	77.688027027027	75.7847804878049	0	0	75.3568333333333	76.2202068965517	78.3330243902439	0	0	0	77.5180208333333	0	0	77.9999714285714	75.5451538461539	77.5790606060606	78.9508205128205
ABC_transporter_[iron.B12.siderophore.hemin]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84.1578666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC_transporter_alkylphosphonate_(TC_3.A.1.9.1)	76.6723333333333	79.151	79.0218333333333	78.2181379310345	77.3457894736842	77.4727333333333	0	0	86.3538666666667	0	81.9028	81.2812727272727	80.0976666666667	84.1794210526316	0	0	0	0	79.0882307692308	79.7509047619048	0	0	0	0	0	0	81.0320909090909	78.7523043478261	78.1820714285714	86.2636666666667
ABC_transporter_branched-chain_amino_acid_(TC_3.A.1.4.1)	77.1958419150858	77.7013500439752	76.7159833333334	75.8455688622755	77.3172774390244	77.5871707317072	77.4580097087379	0	76.2993779956428	0	0	77.0681132075471	77.1115178571429	78.464581027668	77.7836341463415	0	0	0	77.31018555667	76.8198105939004	0	0	0	78.5296075949367	0	0	76.0923307210032	76.546606741573	77.3045525812619	77.5425184501845
ABC_transporter_dipeptide_(TC_3.A.1.5.2)	75.6896652631579	76.0487320099255	75.5961991304347	75.1381651006711	76.8311564356435	76.4309360807401	0	0	76.1780443131462	0	76.5812941176471	77.2165054347826	77.6410561797753	75.843615	77.1779268292683	0	0	0	76.4126739327884	75.4177979797979	0	0	0	0	0	0	75.8984982394365	76.9289758771929	75.864706800446	76.007453427065
ABC_transporter_of_unknown_substrate_X	83.4369333333333	82.6571935483871	82.9493870967742	82.68165625	83.300935483871	83.1319032258065	83.1854838709677	82.302	83.3845161290323	83.4645	83.2303	83.5337096774194	82.5747741935484	82.59284375	83.0043333333333	0	82.1422	79.57025	82.5554516129032	83.0762258064516	82.9684615384616	0	0	84.2557	70.97	0	83.8969285714286	82.1272	82.6321935483871	83.7706428571429
ABC_transporter_oligopeptide_(TC_3.A.1.5.1)	77.1443296823659	76.1044123305641	76.364000453104	77.007301715439	76.2169387144991	76.1179164893616	0	0	76.0741444216289	0	0	76.7915436893203	77.4197353535354	78.0946950517837	76.9468533916849	0	0	0	76.3413536794068	77.1106811902232	0	0	0	76.5023154255319	0	0	76.1289677040517	77.2754109014674	76.0470633387009	76.0217252681764
ABC_transporter_peptide_(TC_3.A.1.5.5)	77.7949540229885	76.8092892561984	74.9678071428572	76.2047311827957	75.5608151260504	75.147520661157	80.5264423076923	0	76.5056987951807	78.9859642857143	77.9552272727273	78.0227142857143	78.9741449275362	77.2091632653061	77.8039537037037	0	87.4924716981132	0	76.6217105263158	77.7812678571429	0	0	0	77.4852950819672	0	0	79.392701754386	78.3202903225806	75.8068571428571	78.8643888888889
ABC_transporter_tungstate_(TC_3.A.1.6.2)	0	0	76.5774406779661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMP_to_3-phosphoglycerate	80.4463333333333	71.996375	0	0	73.5828181818182	73.2962	0	0	73.4512	0	0	74.5484285714286	77.3405714285714	72.5842857142857	0	0	0	0	74.2414285714286	81.9924	0	0	0	79.1055	0	0	74.056875	73.29	72.4894	72.5024285714286
ATP-dependent_Nuclease	76.8304052863436	76.786668161435	77.0913476190477	75.8864410480349	75.7062663551402	76.1030355555556	78.0855860465117	0	76.0100798122066	75.9729090909091	77.0268367346939	77.78975	78.8657465437788	76.3398144329897	78.116729468599	0	0	0	76.1178229665072	75.9965990990991	0	76.1602622950819	0	79.110772972973	0	0	78.4852864077669	78.0479856459331	76.3617678571428	78.2731116279069
ATP-dependent_RNA_helicases,_bacterial	76.7821300919842	77.6791280323449	77.3070485436893	76.8499817739976	76.9686557120501	77.4660135501355	78.6536718562875	75.9734365671641	76.237964332893	76.6389131205673	78.7304938461538	78.0228513323984	77.803786407767	78.3646501706484	78.7086365079365	74.9821349480968	76.6115226209048	75.5814227504245	77.6867645051194	77.5602626427406	76.5588386363636	74.7364964539007	76.7074179431072	79.4676745932416	76.5536875	76.105749003984	78.5764606299212	78.1288716744913	76.9803347398031	78.5368089668616
ATP-dependent_efflux_pump_transporter_Ybh	0	0	0	0	0	0	0	0	0	74.1555961538462	0	0	0	0	0	0	83.4831268656716	0	0	0	0	0	0	0	0	0	73.5412027027026	0	0	74.8069576271186
A_Gammaproteobacteria_Cluster_Relating_to_Translation	80.6120913580248	80.9778513289036	80.6814890387859	80.1393901515152	79.6685804555472	80.8265285599357	80.348613018598	78.6832752577319	79.7186085955488	78.6910101351351	81.2922668643441	80.62525590817	80.632465311843	80.817017979452	81.5231492890996	78.5568648339061	78.6191612149532	78.4544395604395	80.7320626609441	80.4024003177125	78.3620495185694	78.4885395033861	77.5311838150289	82.5128566433566	79.9875498007969	78.0582139639641	79.0216195652173	80.1271638624726	80.9048876306621	78.9828887272727
