	env_package.data.body_site	env_package.data.env_package	env_package.data.sample_name	env_package.id	env_package.name	env_package.type	library.data.file_checksum	library.data.file_name	library.data.investigation_type	library.data.metagenome_id	library.data.metagenome_name	library.data.misc_param	library.data.sample_name	library.data.seq_center	library.data.seq_meth	library.data.seq_model	library.data.seq_url	library.id	library.name	library.type	mixs.biome	mixs.collection_date	mixs.country	mixs.env_package_type	mixs.feature	mixs.latitude	mixs.location	mixs.longitude	mixs.material	mixs.PI_firstname	mixs.PI_lastname	mixs.project_id	mixs.project_name	mixs.seq_method	mixs.sequence_type	project.data.administrative-contact_PI_email	project.data.administrative-contact_PI_organization	project.data.administrative-contact_PI_organization_address	project.data.administrative-contact_PI_organization_country	project.data.administrative-contact_PI_organization_url	project.data.email	project.data.firstname	project.data.lastname	project.data.misc_param	project.data.organization	project.data.organization_address	project.data.organization_country	project.data.organization_url	project.data.PI_email	project.data.PI_firstname	project.data.PI_lastname	project.data.PI_organization	project.data.PI_organization_address	project.data.PI_organization_country	project.data.PI_organization_url	project.data.project_description	project.data.project_funding	project.data.project_name	project.data.project-description_project_description	project.data.project-description_project_name	project.id	project.name	project.public	sample.data.biome	sample.data.collection_date	sample.data.continent	sample.data.country	sample.data.env_package	sample.data.feature	sample.data.host_disease	sample.data.material	sample.data.misc_param	sample.data.sample_name	sample.data.temperature	sample.id	sample.name
mgm4472090.3	Stool	human-gut	SRR038746	mge57962	SRR038746: human-gut	human-gut	bccb41119240739ef0f7e2e2515bb706	SRR038746.fastq	metagenome	4472090.3	SRR038746	SRA012306,SRS015890,SRX018273	SRR038746	Washington University Genome Institute		Illumina Genome Analyzer II	http://genome.wustl.edu/	mgl57963	SRR038746	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	unknown	feces	SRA012306,SRS015890,SRX018273	SRR038746	37.5	mgs57961	SRR038746
mgm4472091.3	Stool	human-gut	SRR041654	mge57965	SRR041654: human-gut	human-gut	82e1d851c3412189d40b9b334466b34a	SRR041654.fastq	metagenome	4472091.3	SRR041654	SRA012627,SRS018984,SRX019702	SRR041654	Washington University Genome Institute		Illumina Genome Analyzer II	http://genome.wustl.edu/	mgl57966	SRR041654	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA012627,SRS018984,SRX019702	SRR041654	37.5	mgs57964	SRR041654
mgm4472092.3	Stool	human-gut	SRR041655	mge57968	SRR041655: human-gut	human-gut	fb410aa7d5575c95621b95393e10f88d	SRR041655.fastq	metagenome	4472092.3	SRR041655	SRA012627,SRS018984,SRX019702	SRR041655	Washington University Genome Institute		Illumina Genome Analyzer II	http://genome.wustl.edu/	mgl57969	SRR041655	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA012627,SRS018984,SRX019702	SRR041655	37.5	mgs57967	SRR041655
mgm4472093.3	Stool	human-gut	SRR041656	mge57971	SRR041656: human-gut	human-gut	3628211b64b28bdf3541196b53562fc3	SRR041656.fastq	metagenome	4472093.3	SRR041656	SRA012627,SRS018984,SRX019702	SRR041656	Washington University Genome Institute		Illumina Genome Analyzer II	http://genome.wustl.edu/	mgl57972	SRR041656	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA012627,SRS018984,SRX019702	SRR041656	37.5	mgs57970	SRR041656
mgm4472094.3	Stool	human-gut	SRR041657	mge57974	SRR041657: human-gut	human-gut	2f3de37e27308759ff5c65fbd75e6548	SRR041657.fastq	metagenome	4472094.3	SRR041657	SRA012627,SRS018984,SRX019702	SRR041657	Washington University Genome Institute		Illumina Genome Analyzer II	http://genome.wustl.edu/	mgl57975	SRR041657	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA012627,SRS018984,SRX019702	SRR041657	37.5	mgs57973	SRR041657
mgm4472095.3	Stool	human-gut	SRR041658	mge57977	SRR041658: human-gut	human-gut	e3db26282ce925d079b0051045ff0edd	SRR041658.fastq	metagenome	4472095.3	SRR041658	SRA012632,SRS015431,SRX019703	SRR041658	Washington University Genome Institute		Illumina Genome Analyzer II	http://genome.wustl.edu/	mgl57978	SRR041658	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA012632,SRS015431,SRX019703	SRR041658	37.5	mgs57976	SRR041658
mgm4472096.3	Stool	human-gut	SRR041659	mge57980	SRR041659: human-gut	human-gut	3a6f23bad4f01c3df4e84dee66d4c53b	SRR041659.fastq	metagenome	4472096.3	SRR041659	SRA012632,SRS015431,SRX019703	SRR041659	Washington University Genome Institute		Illumina Genome Analyzer II	http://genome.wustl.edu/	mgl57981	SRR041659	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA012632,SRS015431,SRX019703	SRR041659	37.5	mgs57979	SRR041659
mgm4472097.3	Stool	human-gut	SRR041660	mge57983	SRR041660: human-gut	human-gut	b1e6daf1beebe0aa3d3f5eef7d5e23b4	SRR041660.fastq	metagenome	4472097.3	SRR041660	SRA012632,SRS015431,SRX019703	SRR041660	Washington University Genome Institute		Illumina Genome Analyzer II	http://genome.wustl.edu/	mgl57984	SRR041660	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA012632,SRS015431,SRX019703	SRR041660	37.5	mgs57982	SRR041660
mgm4472098.3	Stool	human-gut	SRR041661	mge57986	SRR041661: human-gut	human-gut	680201a7a50f91ab562752b29eece776	SRR041661.fastq	metagenome	4472098.3	SRR041661	SRA012632,SRS015431,SRX019703	SRR041661	Washington University Genome Institute		Illumina Genome Analyzer II	http://genome.wustl.edu/	mgl57987	SRR041661	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA012632,SRS015431,SRX019703	SRR041661	37.5	mgs57985	SRR041661
mgm4472099.3	Stool	human-gut	SRR041662	mge57989	SRR041662: human-gut	human-gut	49a49380904be5b8713dfed2ee8fb225	SRR041662.fastq	metagenome	4472099.3	SRR041662	SRA012637,SRS019068,SRX019704	SRR041662	Washington University Genome Institute		Illumina Genome Analyzer II	http://genome.wustl.edu/	mgl57990	SRR041662	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA012637,SRS019068,SRX019704	SRR041662	37.5	mgs57988	SRR041662
